Title,Author,Book Format,ASIN,ISBN-10,ISBN-13,BSR,Price in Â£ (starting from),URL
An Inspector Calls (Heinemann Plays For 14-16+),J.B. Priestley,Hardcover,0435232827,9780435232825,978-0435232825,117,1.08,https://www.amazon.co.uk/Inspector-Calls-Heinemann-Plays-14-16/dp/0435232827/ref=sr_1_1?ie=UTF8&qid=1546791022&sr=8-1&keywords=9780435232825
Of Mice and Men,John Steinbeck,Hardcover,0582461464,0582461464,978-0582461468,"5,456",0.01,https://www.amazon.co.uk/Mice-Men-John-Steinbeck/dp/0582461464/ref=sr_1_1?ie=UTF8&qid=1546791037&sr=8-1&keywords=9780582461468
"The Tales of Beedle the Bard, Standard Edition",Bloomsbury and Lumos,Hardcover,0747599874,0747599874,978-0747599876,"7,486",0.01,https://www.amazon.co.uk/Tales-Beedle-Bard-Standard/dp/0747599874/ref=sr_1_1?ie=UTF8&qid=1546791052&sr=8-1&keywords=9780747599876
StrengthsFinder 2.0: A New and Upgraded Edition of the Online Test from Gallup's Now Discover Your Strengths,Tom Rath,Hardcover,159562015X,9781595620156,978-1595620156,"1,200",0.01,https://www.amazon.co.uk/StrengthsFinder-2-0-Upgraded-Discover-Strengths/dp/159562015X/ref=sr_1_1?ie=UTF8&qid=1546791065&sr=8-1&keywords=9781595620156
The Great Gatsby (Wordsworth Classics),F. Scott Fitzgerald,Paperback,185326041X,185326041X,978-1853260414,588,0.01,https://www.amazon.co.uk/Great-Gatsby-Wordsworth-Classics/dp/185326041X/ref=sr_1_1?ie=UTF8&qid=1546791078&sr=8-1&keywords=9781853260414
Fifty Shades of Grey: Book 1 of the Fifty Shades trilogy,E L James,Paperback,0099579936,0099579936,978-0099579939,"3,335",0.01,https://www.amazon.co.uk/Fifty-Shades-Grey-Book-trilogy/dp/0099579936/ref=sr_1_1?ie=UTF8&qid=1546791093&sr=8-1&keywords=9780099579939
Who Moved My Cheese: An Amazing Way to Deal with Change in Your Work and in Your Life,Dr Spencer Johnson,Paperback,0091816971,0091816971,978-0091816971,859,0.01,https://www.amazon.co.uk/Who-Moved-My-Cheese-Amazing/dp/0091816971/ref=sr_1_1?ie=UTF8&qid=1546791103&sr=8-1&keywords=9780091816971
Lord of the Flies,William Golding,Paperback,0571191479,9780571191475,978-0571191475,502,0.01,https://www.amazon.co.uk/Lord-Flies-William-Golding/dp/0571191479/ref=sr_1_1?ie=UTF8&qid=1546791113&sr=8-1&keywords=9780571191475
A Christmas Carol (Children's Classics),Charles Dickens,Paperback,1853261211,1853261211,978-1853261213,"19,403",0.01,https://www.amazon.co.uk/Christmas-Carol-Childrens-Classics/dp/1853261211/ref=sr_1_1?s=books&ie=UTF8&qid=1546791136&sr=1-1&keywords=9781853261213
Secret Garden: An Inky Treasure Hunt and Colouring Book,Johanna Basford,Paperback,1780671067,9781780671062,978-1780671062,"1,313",0.01,https://www.amazon.co.uk/Secret-Garden-Inky-Treasure-Colouring/dp/1780671067/ref=sr_1_1?s=books&ie=UTF8&qid=1546791149&sr=1-1&keywords=9781780671062
Harry Potter and The Cursed Child - Parts One and Two: The Official Script Book of the Original West End Production (Special Rehearsal Edition),J.K. Rowling,Hardcover,0751565350,0751565350,978-0751565355,"2,262",0.01,https://www.amazon.co.uk/Harry-Potter-Cursed-Child-Production/dp/0751565350/ref=sr_1_1?s=books&ie=UTF8&qid=1546791177&sr=1-1&keywords=9780751565355
