Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL,
"Six Short Preludes and Postludes. First Set, Op 101","986,904",982.05,Charles Villiers Stanford,Paperback,B003VSQY1M,Not available,Not available,https://www.amazon.co.uk/Six-Short-Preludes-Postludes-First/dp/B003VSQY1M/ref=sr_1_598?s=books&ie=UTF8&qid=1540736954&sr=1-598&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
New Sights of London: The Handy Guide to Contemporary Architecture.,"1,196,935",965.57,Hugh Casson,Paperback,B002M5IGT8,Not available,Not available,https://www.amazon.co.uk/New-Sights-London-Contemporary-Architecture/dp/B002M5IGT8/ref=sr_1_590?s=books&ie=UTF8&qid=1540736936&sr=1-590&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Epic Scale Sci.Fi Modelling,"1,299,809",768.44,Gary Welsh,Paperback,956905366,956905366,978-0956905369,https://www.amazon.co.uk/Epic-Scale-Sci-Fi-Modelling-Welsh/dp/0956905366/ref=sr_1_579?s=books&ie=UTF8&qid=1540736936&sr=1-579&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Autism: Understanding and Managing Autism by Andrew Powell (2011-09-22),"1,266,404",932.17,Andrew Powell,Paperback,B01K94CSU6,Not available,Not available,https://www.amazon.co.uk/Autism-Understanding-Managing-Andrew-2011-09-22/dp/B01K94CSU6/ref=sr_1_564?s=books&ie=UTF8&qid=1540736923&sr=1-564&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Clinical Otoscopy,"1,325,836",859.99,Michael Hawke,Paperback,443027498,443027498,978-0443027499,https://www.amazon.co.uk/Clinical-Otoscopy-Michael-Hawke/dp/0443027498/ref=sr_1_513?s=books&ie=UTF8&qid=1540736868&sr=1-513&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Being Human (Psychology of Change) by Gerry Pyves (9-Jul-2014) Paperback,"1,207,335",992.28,No Author Specified!!,Paperback,B011T7O6XE,Not available,Not available,https://www.amazon.co.uk/Being-Psychology-Change-9-Jul-2014-Paperback/dp/B011T7O6XE/ref=sr_1_511?s=books&ie=UTF8&qid=1540736851&sr=1-511&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Mathematics for Engineers: A Modern Interactive Approach with MyMathLab,"1,349,011",883.99,Dr Anthony Croft,Paperback,273725491,273725491,978-0273725497,https://www.amazon.co.uk/Mathematics-Engineers-Interactive-Approach-MyMathLab/dp/0273725491/ref=sr_1_498?s=books&ie=UTF8&qid=1540736851&sr=1-498&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Masters of Science Fiction, Vol. One: Bryce Walton by Bryce Walton (2011-01-03)","1,398,395",850.39,No Author Specified!!,Paperback,B01A0CVJPC,Not available,Not available,https://www.amazon.co.uk/Masters-Science-Fiction-Vol-One/dp/B01A0CVJPC/ref=sr_1_481?s=books&ie=UTF8&qid=1540736834&sr=1-481&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Housing and the New Financial Mark,"1,457,925",837.53,Richard Florida,Paperback,882851136,882851136,978-0882851136,https://www.amazon.co.uk/Housing-Financial-Mark-Richard-Florida/dp/0882851136/ref=sr_1_478?s=books&ie=UTF8&qid=1540736819&sr=1-478&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Code of Practice for Electric Vehicle Charging Equipment Installation,"1,054,765",870.99,ISL Technical Committee,Paperback,1849195145,1849195145,978-1849195140,https://www.amazon.co.uk/Practice-Electric-Charging-Equipment-Installation/dp/1849195145/ref=sr_1_473?s=books&ie=UTF8&qid=1540736819&sr=1-473&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Hopkins Architects, London 2012, Velodrome: Design in Pursuit of Efficiency","1,004,627",887.99,Peter Buchanan,Paperback,956787711,956787711,978-0956787712,https://www.amazon.co.uk/Hopkins-Architects-London-2012-Velodrome/dp/0956787711/ref=sr_1_470?s=books&ie=UTF8&qid=1540736819&sr=1-470&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Scottish Offpiste Skiing & Snowboarding: Nevis Range and Ben Nevis,"549,158",975.99,Kenny Biggin,Paperback,992606500,992606500,978-0992606503,https://www.amazon.co.uk/Scottish-Offpiste-Skiing-Snowboarding-Nevis/dp/0992606500/ref=sr_1_463?s=books&ie=UTF8&qid=1540736802&sr=1-463&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
PRACTICAL GUIDE TO INFORMATION ARCHITECT,"983,657",953.99,No Author Specified!!,Paperback,095617406X,095617406X,978-0956174062,https://www.amazon.co.uk/PRACTICAL-GUIDE-TO-INFORMATION-ARCHITECT/dp/095617406X/ref=sr_1_449?s=books&ie=UTF8&qid=1540736802&sr=1-449&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Max Webers Wissenschaft Vom Menschen: Neue Studien Zur Biographie Des Werks,"876,683",875.07,Wilhelm Hennis,Paperback,3161482476,3161482476,978-3161482472,https://www.amazon.co.uk/Max-Webers-Wissenschaft-Vom-Menschen/dp/3161482476/ref=sr_1_444?s=books&ie=UTF8&qid=1540736787&sr=1-444&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
A Muslim Family in Britain (Families & faiths),"794,283",995.9,Steve Harrison,Paperback,80228852,80228852,978-0080228853,https://www.amazon.co.uk/Muslim-Family-Britain-Families-faiths/dp/0080228852/ref=sr_1_434?s=books&ie=UTF8&qid=1540736787&sr=1-434&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Medieval Scotland: Kingship and Nation,"1,106,548",752.93,Alan MacQuarrie,Paperback,750929774,750929774,978-0750929776,https://www.amazon.co.uk/Medieval-Scotland-Kingship-Alan-MacQuarrie/dp/0750929774/ref=sr_1_424?s=books&ie=UTF8&qid=1540736770&sr=1-424&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Atlantic Canada Birds (Pocket Nature Guides Series),"612,709",929.02,Helene Dobrowolsky,Paperback,1551058979,1551058979,978-1551058979,https://www.amazon.co.uk/Atlantic-Canada-Pocket-Nature-Guides/dp/1551058979/ref=sr_1_410?s=books&ie=UTF8&qid=1540736753&sr=1-410&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Handwriting: A Second Chance,"1,006,957",768.99,Philomena Pickard,Paperback,905114302,905114302,978-0905114309,https://www.amazon.co.uk/Handwriting-Second-Chance-Philomena-Pickard/dp/0905114302/ref=sr_1_401?s=books&ie=UTF8&qid=1540736753&sr=1-401&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"150 Tips for Everyday Living with ME/CFS: Easier Ways with Personal Care, Cooking, Cleaning, Shopping and More","536,963",891.23,Anna Cayder,Paperback,1494776456,1494776456,978-1494776459,https://www.amazon.co.uk/150-Tips-Everyday-Living-CFS/dp/1494776456/ref=sr_1_397?s=books&ie=UTF8&qid=1540736734&sr=1-397&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Vivian French Tales from the Five Kingdoms Collection 5 Books Set, (The Robe of Skulls, The Bag of Bones, The Heart of Glass and more)","1,089,351",854.96,No Author Specified!!,Paperback,B00BDKYWQY,3200303719,978-3200303713,https://www.amazon.co.uk/Vivian-French-Kingdoms-Collection-Skulls/dp/B00BDKYWQY/ref=sr_1_358?s=books&ie=UTF8&qid=1540736697&sr=1-358&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
LAMDA Acting Anthology: v.2: Monologues and Duologues for Young Actors from Classical and Contemporary Plays,"736,951",910.99,Greg Hamerton,Paperback,955768713,955768713,978-0955768712,https://www.amazon.co.uk/LAMDA-Acting-Anthology-Monologues-Contemporary/dp/0955768713/ref=sr_1_338?s=books&ie=UTF8&qid=1540736678&sr=1-338&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Crusade's End: Horus Heresy Omnibus 1 (Horus Hersey Omnibus 1),"657,574",797.99,Dan Abnett,Paperback,1784961574,1784961574,978-1784961572,https://www.amazon.co.uk/Crusades-End-Heresy-Omnibus-Hersey/dp/1784961574/ref=sr_1_337?s=books&ie=UTF8&qid=1540736678&sr=1-337&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
The Flint Anchor (VMC),"872,533",771.69,Sylvia Townsend Warner,Paperback,1853812021,1853812021,978-1853812026,https://www.amazon.co.uk/Flint-Anchor-Sylvia-Townsend-Warner/dp/1853812021/ref=sr_1_323?s=books&ie=UTF8&qid=1540736662&sr=1-323&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"The BHS Revision Guide For Stages 1, 2, 3 and The PTT (BHS Official Handbook)","412,231",971.79,Jo Winfield FBHS,Paperback,1905693869,1905693869,978-1905693863,https://www.amazon.co.uk/Revision-Guide-Stages-Official-Handbook/dp/1905693869/ref=sr_1_317?s=books&ie=UTF8&qid=1540736646&sr=1-317&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
The Working Brain - An Introduction to Neuropsychology,"754,025",807.5,A R Luria,Paperback,B003ZE1HTQ,140806547,978-0140806540,https://www.amazon.co.uk/Working-Brain-Introduction-Neuropsychology/dp/B003ZE1HTQ/ref=sr_1_282?s=books&ie=UTF8&qid=1540736616&sr=1-282&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Understanding Hypnosis: A practical guide to the health-giving benefits of hypnotherapy and self-hypnosis,"587,446",947,Dr Brian Roet,Paperback,749921218,749921218,978-0749921217,https://www.amazon.co.uk/Understanding-Hypnosis-health-giving-hypnotherapy-self-hypnosis/dp/0749921218/ref=sr_1_258?s=books&ie=UTF8&qid=1540736600&sr=1-258&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Howells: Cranial Variation in Man: Study Multi A Nal Patt Diff Human Populations (Pr Only) (Papers of the Peabody Museum of Archaeology and Ethnology, Harvard universiTy, V. 67.)","1,271,831",917.9,WW HOWELLS,Paperback,873651898,873651898,978-0873651899,https://www.amazon.co.uk/Howells-Variation-Populations-Archaeology-universiTy/dp/0873651898/ref=sr_1_254?s=books&ie=UTF8&qid=1540736582&sr=1-254&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
DC-LD: Diagnostic Criteria for Psychiatric Disorders for Use with Adults with Learning Disabilities/mental Retardation (Occasional paper) (Occasional Papers),"995,572",763.1,Royal College of Psychiatrists,Paperback,1901242617,1901242617,978-1901242614,https://www.amazon.co.uk/DC-LD-Diagnostic-Psychiatric-Disabilities-Retardation/dp/1901242617/ref=sr_1_233?s=books&ie=UTF8&qid=1540736565&sr=1-233&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Fairgrounds and amusement parks: guidance on safe practice (Health and safety guidance),"720,189",990,Great Britain: Health and Safety Executive,Paperback,717662497,717662497,978-0717662494,https://www.amazon.co.uk/Fairgrounds-amusement-parks-guidance-practice/dp/0717662497/ref=sr_1_232?s=books&ie=UTF8&qid=1540736565&sr=1-232&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Never be a Bookseller,"1,125,714",784.99,David Garnett,Paperback,948375485,948375485,978-0948375484,https://www.amazon.co.uk/Never-be-Bookseller-David-Garnett/dp/0948375485/ref=sr_1_214?s=books&ie=UTF8&qid=1540736546&sr=1-214&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
British Railway Camping Coach Holidays: The 1930s and British Railways (London Midland Region) Pt. 1 (Scenes from the Past),"728,072",971.97,Andrew McRae,Paperback,1870119487,1870119487,978-1870119481,https://www.amazon.co.uk/British-Railway-Camping-Coach-Holidays/dp/1870119487/ref=sr_1_190?s=books&ie=UTF8&qid=1540736511&sr=1-190&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
A Concise Ulster Dictionary,"1,012,809",809.54,Caroline Macafee,Paperback,198600593,198600593,978-0198600596,https://www.amazon.co.uk/Concise-Ulster-Dictionary-Caroline-Macafee/dp/0198600593/ref=sr_1_183?s=books&ie=UTF8&qid=1540736511&sr=1-183&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Francine Pascal's Sweet Valley High 1: Double Love/Secrets/Playing With Fire/Power Play/No. 1-4/Boxed Set by Francine Pascal (1991-10-03),"969,703",932.3,No Author Specified!!,Paperback,B01FEOWP8Q,Not available,Not available,https://www.amazon.co.uk/Francine-Pascals-Sweet-Valley-High/dp/B01FEOWP8Q/ref=sr_1_175?s=books&ie=UTF8&qid=1540736494&sr=1-175&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Exhibiting the New Art: 'Op Losse Schroeven' and 'When Attitudes Become Form' 1969 (Exhibition Histories),"848,449",820.12,Christian Rattemeyer,Paperback,3865608590,3865608590,978-3865608598,https://www.amazon.co.uk/Exhibiting-New-Art-Schroeven-Exhibition/dp/3865608590/ref=sr_1_172?s=books&ie=UTF8&qid=1540736494&sr=1-172&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
100 Embroidery Stitches (Anchor Embroidery Stitches Series),"462,918",957.17,J. & P Coats Ltd,Paperback,B0000CNOAN,Not available,Not available,https://www.amazon.co.uk/100-Embroidery-Stitches-Anchor/dp/B0000CNOAN/ref=sr_1_171?s=books&ie=UTF8&qid=1540736494&sr=1-171&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Adalberto Libera nel dopoguerra,"1,107,050",786.99,A. Fassio,Paperback,8871383079,8871383079,978-8871383071,https://www.amazon.co.uk/Adalberto-Libera-nel-dopoguerra-Fassio/dp/8871383079/ref=sr_1_165?s=books&ie=UTF8&qid=1540736494&sr=1-165&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Who Stole Noddy’s Car?: Activity Book (Toy Town Stories),"620,182",751.98,Enid Blyton,Paperback,1361228,1361228,978-0001361225,https://www.amazon.co.uk/Who-Stole-Noddys-Car-Activity/dp/0001361228/ref=sr_1_131?s=books&ie=UTF8&qid=1540736461&sr=1-131&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"The Roald Dahl Adults Library - 7 Books Set - Retail Price £48.93 (Switch Bitch; Ah, Sweet Mystery Of Life; Kiss Kiss.....)","897,124",986.85,Roald Dahl,Paperback,B00139HUDM,Not available,Not available,https://www.amazon.co.uk/Roald-Dahl-Adults-Library-Mystery/dp/B00139HUDM/ref=sr_1_111?s=books&ie=UTF8&qid=1540736428&sr=1-111&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Fieldbook of Team Interventions: Step-by-Step Guide to High Performance Teams by C. Harry Eggleton (1996-06-03),"920,765",875.52,No Author Specified!!,Paperback,B01FJ1JCLM,Not available,Not available,https://www.amazon.co.uk/Fieldbook-Team-Interventions-Step-Step/dp/B01FJ1JCLM/ref=sr_1_108?s=books&ie=UTF8&qid=1540736428&sr=1-108&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Casualty Care in Mountain Rescue,"798,080",949.99,John Ellerton,Paperback,950176575,950176575,978-0950176574,https://www.amazon.co.uk/Casualty-Care-Mountain-Rescue-Ellerton/dp/0950176575/ref=sr_1_94?s=books&ie=UTF8&qid=1540736411&sr=1-94&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Maurice Martenot: Methode de l'Enseignement des Ondes Martenot (Ondes Martenot Solo),"874,428",982.79,Maurice (C Martenot,Paperback,B000ZG6WQ0,Not available,979-0046178283,https://www.amazon.co.uk/Maurice-Martenot-Methode-lEnseignement-Ondes/dp/B000ZG6WQ0/ref=sr_1_86?s=books&ie=UTF8&qid=1540736411&sr=1-86&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Steam drifters recalled: Whitehills to St. Combs,"683,204",955.79,J Reid,Paperback,B0000COZO6,Not available,Not available,https://www.amazon.co.uk/Steam-drifters-recalled-Whitehills-Combs/dp/B0000COZO6/ref=sr_1_77?s=books&ie=UTF8&qid=1540736397&sr=1-77&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Llanberis Slate,"660,959",775.99,Simon John Panton,Paperback,955441765,955441765,978-0955441769,https://www.amazon.co.uk/Llanberis-Slate-Simon-John-Panton/dp/0955441765/ref=sr_1_76?s=books&ie=UTF8&qid=1540736397&sr=1-76&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Life at Laxton: The Memories of Edith Hickson,"606,261",839.99,Edith Hickson,Paperback,902031899,902031899,978-0902031890,https://www.amazon.co.uk/Life-Laxton-Memories-Edith-Hickson/dp/0902031899/ref=sr_1_60?s=books&ie=UTF8&qid=1540736384&sr=1-60&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Place-names of Arran,"571,234",844.99,Ian A. Fraser,Paperback,907526764,907526764,978-0907526766,https://www.amazon.co.uk/Place-names-Arran-Ian-Fraser/dp/0907526764/ref=sr_1_15/257-7872929-3902738?s=books&ie=UTF8&qid=1540736338&sr=1-15&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
The Ribhu Gita,"523,715",970.97,No Author Specified!!,Paperback,8182880882,8182880882,978-8182880887,https://www.amazon.co.uk/The-Ribhu-Gita/dp/8182880882/ref=sr_1_11/257-7872929-3902738?s=books&ie=UTF8&qid=1540736338&sr=1-11&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800